Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
KNN,0.8819951338199513,0.8163265306122449,0.8480565371024735,0.8318890814558059,0.9213108950615261
DecisionTree,0.829683698296837,0.7328990228013029,0.7950530035335689,0.7627118644067796,0.8214597114142798
RandomForest,0.889294403892944,0.8529411764705882,0.8197879858657244,0.836036036036036,0.9414502710817703
XGBoost,0.8880778588807786,0.8350877192982457,0.8409893992932862,0.8380281690140845,0.9449313936946445
